sampleid	biosample	bioproject	reads	primer_group	genus	species	common_name	old_new_world	pathogen	diet_org	diet_assumed	diet_1	diet_2	diet_group	diet_cat	sex	reprod_stage	total_sample_no	sample_type	collection_year	captive_wild	habitat_assumed	habitat_group	habitat_level_1	habitat_level_2	roost_group	sociality_x	foraging	collection_location	country	continent	virus	body_mass_g	litter_size	litters_peryear	longevity_month	sociality_y	torpor_use
SAMEA9989208	SAMEA9989208_ERR7141703	PRJEB47836	paired	V3-V4_1	Miniopterus	Miniopterus_schreibersii	Common_bet-wing_bat	old_world	Alphacoronaviruses_Filoviruses	Arthropodophagous	Insectivorous	Insects	Insects	Insects	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Terrestrial	Terrestrial	Forest	forest_grassland	Cave	Colonial	aerial_hawking	NA	NA	NA	Alphacoronaviruses_Filoviruses	11.46	0.99	1	168	Colonial	Seasonal
SAMEA9989207	SAMEA9989207_ERR7142009	PRJEB47836	paired	V3-V4_1	Miniopterus	Miniopterus_schreibersii	Common_bet-wing_bat	old_world	Alphacoronaviruses_Filoviruses	Arthropodophagous	Insectivorous	Insects	Insects	Insects	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Terrestrial	Terrestrial	Forest	forest_grassland	Cave	Colonial	aerial_hawking	NA	NA	NA	Alphacoronaviruses_Filoviruses	11.46	0.99	1	168	Colonial	Seasonal
SAMEA9989206	SAMEA9989206_ERR7142008	PRJEB47836	paired	V3-V4_1	Miniopterus	Miniopterus_schreibersii	Common_bet-wing_bat	old_world	Alphacoronaviruses_Filoviruses	Arthropodophagous	Insectivorous	Insects	Insects	Insects	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Terrestrial	Terrestrial	Forest	forest_grassland	Cave	Colonial	aerial_hawking	NA	NA	NA	Alphacoronaviruses_Filoviruses	11.46	0.99	1	168	Colonial	Seasonal
SAMEA9989205	SAMEA9989205_ERR7142007	PRJEB47836	paired	V3-V4_1	Miniopterus	Miniopterus_schreibersii	Common_bet-wing_bat	old_world	Alphacoronaviruses_Filoviruses	Arthropodophagous	Insectivorous	Insects	Insects	Insects	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Terrestrial	Terrestrial	Forest	forest_grassland	Cave	Colonial	aerial_hawking	NA	NA	NA	Alphacoronaviruses_Filoviruses	11.46	0.99	1	168	Colonial	Seasonal
SAMEA9989204	SAMEA9989204_ERR7142006	PRJEB47836	paired	V3-V4_1	Miniopterus	Miniopterus_schreibersii	Common_bet-wing_bat	old_world	Alphacoronaviruses_Filoviruses	Arthropodophagous	Insectivorous	Insects	Insects	Insects	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Terrestrial	Terrestrial	Forest	forest_grassland	Cave	Colonial	aerial_hawking	NA	NA	NA	Alphacoronaviruses_Filoviruses	11.46	0.99	1	168	Colonial	Seasonal
SAMEA9988538	SAMEA9988538_ERR7142019	PRJEB47836	paired	V3-V4_1	Rhinolophus	Rhinolophus_ferrumequinum	Greater_hourseshoe_bat	old_world	Betacoronaviruses	Piscivorous	Carnivorous	Insects	Insects	Insects_Fishes	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Ocean	Ocean	Scrub	scrub_grassland	Cave	Colonial	aerial_hawking_ambush_gleaning	NA	NA	NA	Betacoronaviruses	19.15	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9988537	SAMEA9988537_ERR7141729	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_ricketti	Rickett's_big-footed_Myotis	old_world	Alphacoronaviruses_Betacoronaviruses	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Forest	forest_water	Cave	Colonial	trawling	NA	NA	NA	Alphacoronaviruses_Betacoronaviruses	NA	NA	NA	NA	Colonial	Diurnal_Seasonal
SAMEA9988536	SAMEA9988536_ERR7141751	PRJEB47836	paired	V3-V4_1	Noctilio	Noctilio_leporinus	Greater_bulldog_bat	new_world	Lyssaviruses	Piscivorous	Carnivorous	Fishes	Fishes	Fishes	Carnivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Brackish	Brackish	Forest	forest_water	Tree_hollows	Social	trawling	NA	NA	NA	Lyssaviruses	29.93	NA	1	NA	Social	No
SAMEA9988534	SAMEA9988534_ERR7141720	PRJEB47836	paired	V3-V4_1	Myotis	Myotis_daubentonii	Daubenton's_bat	old_world	Alphacoronaviruses	Piscivorous	Carnivorous	Insects	Insects	Insects_Fishes	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Freshwater	Freshwater	Urban	urban_based	Tree_hollows	Colonial	trawling_aerial_hawking	NA	NA	NA	Alphacoronaviruses	7.63	1.21	1	336	Colonial	Diurnal_Seasonal
SAMEA9988533	SAMEA9988533_ERR7142004	PRJEB47836	paired	V3-V4_1	Miniopterus	Miniopterus_schreibersii	Common_bet-wing_bat	old_world	Alphacoronaviruses_Filoviruses	Insectivorous	Insectivorous	Insects	Insects	Insects	Insectivorous	NA	NA	98	Fecal_sample	NA	Wild_probably	Terrestrial	Terrestrial	Forest	forest_grassland	Cave	Colonial	aerial_hawking	NA	NA	NA	Alphacoronaviruses_Filoviruses	11.46	0.99	1	168	Colonial	Seasonal
